isbn,title,author,genre,copies
ISBN001,Effective Java,Joshua Bloch,Programming,3
ISBN002,Clean Code,Robert C. Martin,Programming,2
ISBN003,The Pragmatic Programmer,Andrew Hunt,Programming,2
ISBN004,Design Patterns,Erich Gamma,Programming,2
ISBN005,Introduction to Algorithms,Thomas H. Cormen,Computer Science,3
ISBN006,Operating System Concepts,Abraham Silberschatz,Computer Science,2
ISBN007,Computer Networks,Andrew S. Tanenbaum,Computer Science,2
ISBN008,Database System Concepts,Abraham Silberschatz,Computer Science,2
ISBN009,Artificial Intelligence: A Modern Approach,Stuart Russell,Computer Science,2
ISBN010,Deep Learning,Ian Goodfellow,Computer Science,1
ISBN011,The Great Gatsby,F. Scott Fitzgerald,Fiction,3
ISBN012,To Kill a Mockingbird,Harper Lee,Fiction,2
ISBN013,1984,George Orwell,Fiction,4
ISBN014,Pride and Prejudice,Jane Austen,Fiction,2
ISBN015,The Alchemist,Paulo Coelho,Fiction,3
ISBN016,Sapiens,Yuval Noah Harari,Non-Fiction,3
ISBN017,Atomic Habits,James Clear,Non-Fiction,4
ISBN018,Thinking Fast and Slow,Daniel Kahneman,Non-Fiction,2
ISBN019,A Brief History of Time,Stephen Hawking,Science,2
ISBN020,Cosmos,Carl Sagan,Science,2
ISBN021,The Selfish Gene,Richard Dawkins,Science,1
ISBN022,Wings of Fire,A.P.J. Abdul Kalam,Biography,3
ISBN023,Steve Jobs,Walter Isaacson,Biography,2
ISBN024,The Diary of a Young Girl,Anne Frank,Biography,2
ISBN025,Rich Dad Poor Dad,Robert Kiyosaki,Finance,3
